"",Task # Train. # Dev.,"# Test",,
"","Chem 65,398","1,292 1,232",,
"","EHR 225,607",913 604,,
"","CDR 8,272","888 4,620",,
"","Spouses 22,195","2,796 2,697",,
"","Radiology 3,851",385 385,,
"",Crowd 505,63 64,,
is,"incorrect (note that for tie votes,",we simply upper bound by,,
trivially assuming an expected advantage of one):,,,,
"E w∗,y [A","∗(Λ, y) | Λ]",,,
"","= Ew∗,y∼P (· | Λ,w∗) [Aw∗ (Λ, y)]",,,
"",m,,,
"",1 ∑ [ {,} {,,}]
"","≤ mE w∗,y∼P (· | Λi,w∗) 1 yi = yi",′ 1 y fw∗i ′(Λi) ≤ 0,,
"",i=1,,,
"",m,,,
"",1 ∑ [ [ {,}] {,,}]
"","′= E w∗ E y∼P (· | Λ ,w∗) 1 yi = yi",′ 1 y ∗ifw,(Λi) ≤ 0,
"",m i,,,
"",i=1,,,
"",m,,,
"",1 ∑ [,{ }],,
"","′= E w∗ P (yi = yi | Λi, w ′ ∗ )1 y fw∗i",(Λi) ≤ 0,,
"",m,,,
"",i=1,,,
"Next, define:",,,,
"",{,,},
"","′′Φ(Λi, y ) = 1 cy′′ (Λi)wmax − c−y′′ (Λi)wmin",,,
