eid,is_error,num_mentions,max_num_same_meaning
2_0_526022,FALSE,2,2
2_0_1583608,TRUE,3,0
2_0_2195060,FALSE,6,6
2_0_2173408,TRUE,3,0
2_0_414167,FALSE,3,3
2_0_1947103,FALSE,4,4
2_0_2617597,FALSE,3,3
2_0_2413777,FALSE,11,11
2_0_1285158,FALSE,5,5
2_0_457779,TRUE,7,0
2_0_2374966,FALSE,3,3
2_0_1298501,FALSE,3,1
2_0_3138826,TRUE,8,0
2_0_1475914,TRUE,8,0
2_0_998402,FALSE,9,9
2_0_2383761,FALSE,3,3
2_0_3047213,FALSE,4,4
2_0_508212,FALSE,15,15
2_0_1807474,TRUE,3,0
2_0_1175363,FALSE,3,3
2_0_1850221,TRUE,3,0
2_0_512337,TRUE,3,0
2_0_532372,FALSE,7,7
2_0_975175,TRUE,24,0
2_0_573867,TRUE,19,0
2_0_2996680,TRUE,5,0
2_0_1463304,FALSE,3,3
2_0_3063879,TRUE,6,0
2_0_1702116,FALSE,3,3
2_0_560409,FALSE,15,11
2_0_1466410,FALSE,4,4
2_0_384539,FALSE,3,2
2_0_606434,TRUE,9,0
2_0_1036926,FALSE,3,3
2_0_1282105,FALSE,11,11
2_0_1069924,TRUE,6,0
2_0_549192,FALSE,10,10
2_0_657300,FALSE,3,3
2_0_2063249,FALSE,7,7
2_0_1391265,TRUE,3,0
2_0_1142382,FALSE,5,5
2_0_800541,FALSE,6,6
2_0_1467348,FALSE,8,8
2_0_701790,FALSE,2,2
2_0_1863413,FALSE,11,9
2_0_1446623,TRUE,3,0
2_0_2803588,FALSE,3,3
2_0_1501886,FALSE,3,3
2_0_1499404,FALSE,5,5
2_0_794772,FALSE,5,5
